,ID,location_name,lat,long
519,2353680,Yalanga,14.27846,-1.04358
520,2353681,Yalaga,13.859929999999999,-2.2551
521,2353682,Yakzougou,12.5,-2.1833299999999998
522,2353683,Yakranyimasso,10.61667,-5.28333
523,2353684,Yakouta,14.07584,-0.13689
524,2353685,Yakouba,11.46045,-4.27095
525,2353686,Yakone,13.554129999999999,-0.88226
526,2353687,Yako,11.6,-1.35
527,2353688,Yako,12.9591,-2.26075
528,2353689,Yakin,11.997069999999999,-1.5618
529,2353690,Yakin,11.8,-1.15
530,2353691,Yakin,11.63333,-1.15
531,2353692,Yake,12.9444,-1.71017
532,2353693,Yake,12.92876,-1.7592599999999998
533,2353694,Yakala,11.51667,-0.71667
534,2353695,Yakabe,12.28333,-0.2
535,2353696,Yaka,13.39029,-1.26827
536,2353697,Yaka,13.20396,0.09986
537,2353698,Yaio,12.91667,-3.4666699999999997
538,2353699,Yaika,12.2,-0.8
539,2353700,Yahotinga,12.73333,-0.55
540,2353701,Yaguen,13.14533,-0.38644
541,2353702,Yaguema,12.40969,-1.62415
542,2353703,Yagou,12.23333,0.35
543,2353704,Yagamaro,13.40593,0.46088
544,2353705,Yagaha,13.41787,0.5394800000000001
545,2353706,Yagabtenga,12.91667,-0.71667
546,2353707,Yadoumyela,12.75,-2.46667
547,2353708,Yada,12.02315,-1.98355
548,2353709,Yaktenga,12.58361,-1.84028
549,2353710,Yabouinia,10.53333,-5.08333
550,2353711,Yabonsongo,13.657429999999998,-2.4012
551,2353712,Yabogo,13.37551,-2.56849
552,2353713,Foret Classee de Yabo,12.988010000000001,-1.5056100000000001
553,2353714,Yabo,12.97635,-1.49542
554,2353715,Yabe,11.58333,-3.7833300000000003
555,2353716,Yabanse,11.15,-0.68333
556,2353717,Yaba,12.870289999999999,-2.8571299999999997
557,2353718,Ya,11.5,-2.51667
558,2353719,Woyboyre,12.78333,-0.016669999999999997
559,2353720,Wouskongo,12.3,-0.95
560,2353721,Woumtenga,12.24661,-1.67012
561,2353722,Woumitoguen,12.31667,-0.85
562,2353723,Oulmasoutou,13.69958,0.16695
563,2353724,Woula,13.095999999999998,-4.0533
564,2353725,Ouokinga Ouobilo,13.6427,-2.67
565,2353726,Wote,12.83333,-3.65
566,2353727,Wortore,13.6774,0.25233
567,2353728,Woroma,11.75089,-4.3910800000000005
568,2353729,Worokui,12.31667,-3.5166699999999995
569,2353730,Worobgo,12.07062,-1.24429
570,2353731,Foret Classee de Woro,12.35,-2.9333299999999998
571,2353732,Ouro,13.857479999999999,-2.1177099999999998
572,2353733,Woro,12.35,-2.9
573,2353734,Woro,12.0,-2.41667
574,2353735,Woro,11.7,-3.68333
575,2353736,Ouore Yarse,13.211929999999999,-2.62578
576,2353737,Ouore,12.56075,-1.03693
577,2353738,Woranga,12.9,0.9
578,2353739,Ouonon,13.04465,-2.1237
579,2353740,Wonkoro,10.6,-3.65
580,2353741,Oumsom,13.384260000000001,-2.16987
581,2353742,Wolopekaha,10.7,-5.38333
582,2353743,Wole,13.437710000000001,-0.54091
